ano,mes,codigo_rnt,cod_mun,cod_dpto,estado_rnt,razon_social_establecimiento,departamento,municipio,categoria,num_emp1,sub_categoria,habitaciones,camas
2024,6,212340,20001,20,ACTIVO,WALDIR ANDRES VEGA TORRES,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,OTRO TIPO DE VIVIENDA TURÍSTICA,2,5
2024,6,212422,20001,20,ACTIVO,NINI JHOANA ANAYA MELENDEZ,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,CASA TURÍSTICA,3,4
2024,6,212425,20001,20,ACTIVO,NINI JHOANA ANAYA MELENDEZ,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,3,4
2024,6,212487,20001,20,ACTIVO,JOSE JAIR LONDOÑO BERNAL,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,FINCA TURISTICA (ALOJAMIENTO RURAL),5,16
2024,6,212716,20001,20,ACTIVO,JAIRO ENRRIQUE GUTIERREZ NUÑEZ,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,OTRO TIPO DE VIVIENDA TURÍSTICA,1,1
2024,6,213058,20001,20,ACTIVO,EDUARDO  LUIS NUÑEZ SOTO,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,4
2024,6,213208,20001,20,ACTIVO,CLUB DEPORTIVO GUATAPURI,CESAR,VALLEDUPAR,CONCESIONARIOS DE SERVICIOS TURÍSTICOS EN PARQUE,1,CONCESIONARIO DE SERVICIOS TURÍSTICOS EN PARQUE,0,0
2024,7,214391,20001,20,ACTIVO,HOSTAL MI CASITA,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOSTAL,25,14
2024,7,214440,20001,20,ACTIVO,HOTEL LEYENDA VALLENATA & LOBO,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,3,HOTEL,14,17
2024,7,214606,20001,20,ACTIVO,LARA CORREA ROSA MILENA,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,CASA TURÍSTICA,4,5
2024,7,214930,20001,20,ACTIVO,RYR_TOURS,CESAR,VALLEDUPAR,AGENCIAS DE VIAJES,1,AGENCIA DE VIAJES Y DE TURISMO,0,0
2024,7,214941,20001,20,ACTIVO,JESUS DAVID GARCIA MANJARREZ,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,3,6
2024,7,215464,20001,20,ACTIVO,HOSTAL LA CASA DE DIOS,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOSTAL,6,4
2024,7,215476,20001,20,ACTIVO,CAMILA FITNESS & FLY,CESAR,VALLEDUPAR,AGENCIAS DE VIAJES,1,AGENCIA DE VIAJES Y DE TURISMO,0,0
2024,7,215547,20001,20,ACTIVO,HOTEL BOUTIQUE BETANIA.,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOTEL,40,22
2024,7,215838,20001,20,ACTIVO,GUATAPURI PRODUCCIONES,CESAR,VALLEDUPAR,OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES,1,OPERADOR PROFESIONAL DE CONGRESOS FERIAS Y CONVENCIONES,0,0
2024,7,215945,20001,20,ACTIVO,CASA HOSTAL 1321,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOSTAL,10,10
2024,7,216042,20001,20,ACTIVO,SIC  SERVICIOS INTEGRALES DE LA COSTA,CESAR,VALLEDUPAR,OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES,1,OPERADOR PROFESIONAL DE CONGRESOS FERIAS Y CONVENCIONES,0,0
2024,7,216054,20001,20,ACTIVO,EDGAR HAMETH CARIACIOLO IGLESIAS,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,1
2024,7,216371,20001,20,ACTIVO,PRO DESARROLLO SOCIAL Y AMBIENTAL,CESAR,VALLEDUPAR,OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES,1,OPERADOR PROFESIONAL DE CONGRESOS FERIAS Y CONVENCIONES,0,0
2024,7,216471,20001,20,ACTIVO,SERVICIO DE TRANSPORTE ESPECIAL Y CARGA SETRANS,CESAR,VALLEDUPAR,EMPRESAS DE TRANSPORTE TERRESTRE AUTOMOTOR,1,TRANSPORTE TERRESTRE AUTOMOTOR ESPECIAL,0,0
2024,8,217265,20001,20,ACTIVO,EDUARDO  LUIS NUÑEZ SOTO,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,7
2024,8,217645,20001,20,ACTIVO,PEDRO EMILIO HERAZO GARAY,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,1
2024,8,217670,20001,20,ACTIVO,ALEXANDRA  MONTOYA VILLARREAL,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,4,30
2024,8,217779,20001,20,ACTIVO,ANA ISABEL IPS,CESAR,VALLEDUPAR,OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES,1,OPERADOR PROFESIONAL DE CONGRESOS FERIAS Y CONVENCIONES,0,0
2024,8,217788,20001,20,ACTIVO,BEEVENTO,CESAR,VALLEDUPAR,OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES,1,OPERADOR PROFESIONAL DE CONGRESOS FERIAS Y CONVENCIONES,0,0
2024,8,217863,20001,20,ACTIVO,D´VIAJE KDM,CESAR,VALLEDUPAR,AGENCIAS DE VIAJES,2,AGENCIA DE VIAJES OPERADORAS,0,0
2024,8,218634,20001,20,ACTIVO,MAIRA ALEJANDRA COGOLLO RIOS,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,4
2024,8,219084,20001,20,ACTIVO,OBREGON SALAZAR MAURICIO FERLEY,CESAR,VALLEDUPAR,GUIAS DE TURISMO,0,GUIA DE TURISMO,0,0
2024,8,219194,20001,20,ACTIVO,HOSPEDAJE MIS 4 S.C,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOSTAL,15,23
2024,8,219618,20001,20,ACTIVO,RODOLFO RAFAEL BOLAÑO ARZUAGA,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,6,4
2024,9,220160,20001,20,ACTIVO,JAG  OPERADORES LOGISTICOS EMPRESARIALES,CESAR,VALLEDUPAR,OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES,2,OPERADOR PROFESIONAL DE CONGRESOS FERIAS Y CONVENCIONES,0,0
2024,9,220167,20001,20,ACTIVO,ZAHHAR AQ,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,1,CASA TURÍSTICA,4,10
2024,9,220636,20001,20,ACTIVO,RESTREPO CARDONA GUILLERMO,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,OTRO TIPO DE VIVIENDA TURÍSTICA,5,16
2024,9,221571,20001,20,ACTIVO,UPAR TRAVEL,CESAR,VALLEDUPAR,AGENCIAS DE VIAJES,1,AGENCIA DE VIAJES OPERADORAS,0,0
2024,9,221573,20001,20,ACTIVO,HOTEL LA CEIBA 8A,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,0,HOTEL,11,20
2024,9,221575,20001,20,ACTIVO,HOTEL IBIZA UPAR,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,2,HOTEL,3,5
2024,9,221632,20001,20,ACTIVO,ZAIDA LILIANA POVEDA VANEGAS,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,6
2024,9,221678,20001,20,ACTIVO,JUNCO & ASOCIADOS INMOBILIARIA S A S,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,6
2024,10,223163,20001,20,ACTIVO,SAMIR ADOLFO SUAREZ OSPINO,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,5
2024,10,223259,20001,20,ACTIVO,ANA MILENA MOJICA SIERRA,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,4,4
2024,10,223573,20001,20,ACTIVO,TOUR LA PROVINCIA,CESAR,VALLEDUPAR,AGENCIAS DE VIAJES,1,AGENCIA DE VIAJES OPERADORAS,0,0
2024,10,223961,20001,20,ACTIVO,HOSTAL LA LEYENDA VALLENATA,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOSTAL,6,6
2024,10,224112,20001,20,ACTIVO,CAROL    MARCELA BOBADILLA   PEREZ,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,FINCA TURISTICA (ALOJAMIENTO RURAL),2,8
2024,10,224280,20001,20,ACTIVO,MGM GRUPO EMPRESARIAL,CESAR,VALLEDUPAR,OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES,1,OPERADOR PROFESIONAL DE CONGRESOS FERIAS Y CONVENCIONES,0,0
2024,10,224340,20001,20,ACTIVO,SHOES ERIKA HERAZO,CESAR,VALLEDUPAR,AGENCIAS DE VIAJES,1,AGENCIA DE VIAJES OPERADORAS,0,0
2024,10,224652,20001,20,ACTIVO,PACHECO ORTIZ ISABELLA ANDREA,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,6
2024,10,224877,20001,20,ACTIVO,ANDY YISAR GARCIA JUYO,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,CASA TURÍSTICA,1,5
2024,10,224909,20001,20,ACTIVO,AMANECER DEL VALLE,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,1,CASA TURÍSTICA,8,12
2024,10,224916,20001,20,ACTIVO,AGENCIA DE VIAJES PAJARITO,CESAR,VALLEDUPAR,AGENCIAS DE VIAJES,1,AGENCIA DE VIAJES Y DE TURISMO,0,0
2024,10,225288,20001,20,ACTIVO,HOTEL JULIMART,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,4,HOTEL,18,39
2024,10,225435,20001,20,ACTIVO,ANDRES MAURICIO GOMEZ REYES,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,CASA TURÍSTICA,6,6
2024,10,225616,20001,20,ACTIVO,JOSE ALBERTO OROZCO TOVAR,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,OTRO TIPO DE VIVIENDA TURÍSTICA,1,1
2024,11,225731,20001,20,ACTIVO,YEFIMY ENRIQUE VARELA SUAREZ,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,CASA TURÍSTICA,4,10
2024,11,226344,20001,20,ACTIVO,BYRON FERNANDO REALES GONGORA,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,6
2024,11,226347,20001,20,ACTIVO,BYRON FERNANDO REALES GONGORA,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,6
2024,11,226534,20001,20,ACTIVO,GUZTO,CESAR,VALLEDUPAR,AGENCIAS DE VIAJES,1,AGENCIA DE VIAJES Y DE TURISMO,0,0
2024,11,226548,20001,20,ACTIVO,PROLOGIST DE LA COSTA,CESAR,VALLEDUPAR,OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES,3,OPERADOR PROFESIONAL DE CONGRESOS FERIAS Y CONVENCIONES,0,0
2024,11,226886,20001,20,ACTIVO,VERGARA DURAN GUSTAVO ADOLFO,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,CASA TURÍSTICA,1,6
2024,11,226892,20001,20,ACTIVO,VERGARA DURAN GUSTAVO ADOLFO,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,12
2024,11,227133,20001,20,ACTIVO,HOTEL REAL DEL VALLE BOUTIQUE,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOTEL,18,36
2024,11,227136,20001,20,ACTIVO,HOTEL EL BOSQUE BOUTIQUE,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,HOTEL,36,72
2024,11,227500,20001,20,ACTIVO,CAROLINA ESTHER RUIZ NUÑEZ,CESAR,VALLEDUPAR,GUIAS DE TURISMO,0,GUIA DE TURISMO,0,0
2024,11,227970,20001,20,ACTIVO,LINA PATRICIA CORTES CORTES,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,6
2024,12,228476,20001,20,ACTIVO,LEIDY DIANA MIELES CALDERON,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,2,2
2024,12,228480,20001,20,ACTIVO,MIELES CALDERON LEIDY DIANA,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,2,1
2024,12,229033,20001,20,ACTIVO,MILDRED CRISTINA TOVAR GARCIA,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,10,6
2024,12,229403,20001,20,ACTIVO,YIRA MARCELA SALAZAR CASTILLA,CESAR,VALLEDUPAR,VIVIENDAS TURÍSTICAS,0,APARTAMENTO TURÍSTICO,1,4
2024,12,230158,20001,20,ACTIVO,CORPORACIÓN NACIONAL DE CULTURA Y TURISMO,CESAR,VALLEDUPAR,OPERADORES PROFESIONALES DE CONGRESOS FERIAS Y CONVENCIONES,1,OPERADOR PROFESIONAL DE CONGRESOS FERIAS Y CONVENCIONES,0,0
2024,12,230559,20001,20,ACTIVO,INVERSIONES FERCOT,CESAR,VALLEDUPAR,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,1,APARTAHOTEL,15,15
